Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Kansas City,6.5,6.3,6.4,6.1,6.8,6.1
2,Miami,6.2,6.2,7.1,5.9,6.6,4.8
3,Buffalo,6.1,5.2,6.3,6.8,5.6,5.9
4,Philadelphia,5.9,6.6,6.6,6,5.8,5.7
5,Seattle,5.9,5.6,4.5,5.2,6.7,5.8
6,Las Vegas,5.9,6.6,5.2,5.8,5.9,5.7
7,Detroit,5.9,5.8,6.7,6.2,5.3,5.2
8,San Francisco,5.8,5.7,6.2,5.6,6.1,6
9,New Orleans,5.7,5.3,5.3,5.5,5.9,4.9
10,Cincinnati,5.7,6.1,6,6.2,5.2,5.7
11,Dallas,5.6,5.9,5.7,5.7,5.6,5.9
12,Jacksonville,5.6,5.6,6.4,5.8,5.5,5
13,Green Bay,5.6,5.7,5.7,5.6,5.6,5.8
14,Chicago,5.5,5.8,8.2,5.9,5.2,4.9
15,Baltimore,5.5,4.8,5.3,5.1,5.8,5.4
16,Atlanta,5.5,5.7,5.8,5.7,5.3,5.1
17,Cleveland,5.4,4.8,4.4,5.6,5.3,5.5
18,New England,5.4,6,5.8,5.3,5.4,5.7
19,Minnesota,5.4,5.7,6,5.4,5.3,5.7
20,NY Jets,5.2,5.8,4.2,5.6,4.9,5
21,LA Chargers,5.2,5.2,5.5,5,5.4,5.9
22,Tennessee,5.2,5.4,5.9,5.7,4.8,5.2
23,Carolina,5.1,4.6,4.6,5.2,5,4.6
24,NY Giants,5.1,4.9,4.8,4.9,5.5,4.7
25,Denver,5,4.7,4.6,4.7,5.2,5.4
26,Tampa Bay,5,4.6,4.4,5.1,4.8,5.9
27,Pittsburgh,4.9,5.4,6.2,4.9,4.9,4.8
28,Washington,4.9,5.1,5,5,4.8,5.1
29,Arizona,4.9,4.9,4.7,4.9,4.8,5.5
30,Indianapolis,4.8,4.5,4.3,5.1,4.6,5.6
31,Houston,4.8,4.5,5.1,4.5,5.1,4.7
32,LA Rams,4.7,4.5,4.6,4.7,4.6,5.9
