player_name,ktc_name
DJ Moore,D.J. Moore
Gabe Davis,Gabriel Davis
Tyler Allgeierarrow_circle_up,Tyler Allgeier
Joshua Palmer,Josh Palmer
Jeff Wilson,Jeffery Wilson
DJ Chark,D.J. Chark
Teddy Bridgewaterarrow_circle_up,Teddy Bridgewater
Irv Smith,Irv Smith Jr.
Hassan Haskinsarrow_circle_up,Hassan Haskins
Nick Foles,NA
John Wolford,NA
Bryce Perkins,NA
Pierre Strong,Pierre Strong Jr.
Brett Rypien,NA
Raheem Blackshear,NA
Mark Ingram,NA
Mitch Trubisky,Mitchell Trubisky
Justin Watson,NA
PJ Walker,P.J. Walker
Samori Toure,NA
Marvin Harrison Jr,Marvin Harrison Jr.
Brian Thomas,Brian Thomas Jr.
Michael Penix,Michael Penix Jr.
DeMario Douglas,Demario Douglas
